,Accuracy,Precision,Recall,F1,AUC
Logistic Regression (TF-IDF),0.9928596187175043,0.9988300672711319,0.9862815884476535,0.9925161665334593,0.9987587773766546
Linear SVM (BoW),0.9992374350086655,0.9997108991037872,0.9987003610108304,0.9992053745575381,0.9998428110709989
Random Forest (Custom),0.965892547660312,0.957864768683274,0.971696750902527,0.9647311827956989,0.9936331648616125
